path,outfit,gender,category,style,color,season,material,description,error,category_group,uuid,ext
outfits/male/outfit_001/17c7dee4-965c-458e-a497-9166998d3bf8.jpg,outfit_001,male,jacket,classic,dark olive green with brown accents,autumn,leather with fur trim,"This dark olive green jacket exudes sophistication and warmth with its luxurious fur collar. The richness of the deep green hue complements the understated elegance of the fur detail, creating a refined appearance that effortlessly transitions from daytime casual wear to evening events. Its leather construction ensures durability and comfort while offering a cozy feel in colder weather. The classic style allows it to pair well with various outfits such as slacks, chinos, or jeans, making it versatile enough for both formal and informal occasions. Whether worn alone or layered over a sweater, this jacket adds depth and character to any outfit.",,outerwear,17c7dee4-965c-458e-a497-9166998d3bf8,jpg
outfits/male/outfit_001/8fd4e04d-22bb-49a8-b7c6-73856f79bd59.jpg,outfit_001,male,shoe,classic,darkslategray with purple sueded texture,all-seasons,sueding,"These elegant men's shoes exude sophistication and understated luxury with their darkslategray base and accentuating purple sueding finish. The sleek, minimalistic design showcases a clean-cut silhouette that emphasizes a timeless classic style. These shoes feature a smooth yet tactile sueding texture on the upper, which adds depth and visual interest while maintaining comfort and durability. Perfectly suited for formal occasions or smart-casual events, they pair effortlessly with tailored suits, chinos, or dress pants, creating a polished look. Their versatile nature allows them to transition seamlessly from daytime meetings to evening gatherings, making them an essential addition to any man's wardrobe.",,footwear,8fd4e04d-22bb-49a8-b7c6-73856f79bd59,jpg
outfits/male/outfit_001/bbb7c5c5-9407-407a-9bfd-7e2253eff0b3.jpg,outfit_001,male,sweater,classic,tan with beige accents,all-seasons,wool blend,"This tan and beige sweater features a classic style with long sleeves and a buttoned collar. Made from a wool blend, it offers warmth and comfort while maintaining a sophisticated appearance. The subtle tan and beige tones create a versatile piece that pairs well with various outfits. It has a medium weight fabric, allowing it to be worn in both cooler autumn evenings and mild winter days. Its classic design makes it suitable for both casual and semi-formal occasions. Pair it with chinos or slacks for a smart-casual look, or layer it under a suit jacket for a more formal ensemble. The buttoned collar adds a touch of elegance and allows you to adjust the fit by loosening or tightening the buttons.",,top,bbb7c5c5-9407-407a-9bfd-7e2253eff0b3,jpg
outfits/male/outfit_001/f58e7635-a5e8-4a88-b99f-c9a11e6d5f21.jpg,outfit_001,male,suit,classic,darkslategray with navy accents and white shirt,all-seasons,wool blend,"This darkslategray navy suit features a sharp cut and elegant silhouette designed for formal occasions. The fabric is a luxurious wool blend that offers comfort and durability while maintaining its shape over time. Accented by a classic belt and paired perfectly with a crisp white shirt, this ensemble exudes sophistication and confidence. Ideal for business meetings, weddings, or special events, the suit can also be adapted for more casual settings by pairing it with a sweater instead of a dress shirt. Its understated yet sophisticated design makes it versatile enough to complement various accessories such as a tie, pocket square, or cufflinks.",,outerwear,f58e7635-a5e8-4a88-b99f-c9a11e6d5f21,jpg
outfits/male/outfit_002/2ba93f2c-8d36-421b-8234-101c66e9a124.jpg,outfit_002,male,sneaker,casual,"darkslategray with black, white, and tan soles",all-seasons,synthetic,"These darkslategray sneaks feature a sophisticated design that effortlessly bridges style and functionality. The upper is crafted from high-quality synthetic materials in a deep darkslategray hue, offering both durability and comfort. The shoes boast a unique aesthetic with a combination of black, white, and tan soles, adding a playful touch while maintaining a refined appearance. Ideal for casual settings such as daily commutes, leisurely walks, or even informal social gatherings, these sneakers pair effortlessly with a variety of outfits. Whether paired with jeans, chinos, or cargo pants, they provide a stylish yet versatile option for everyday wear.",,footwear,2ba93f2c-8d36-421b-8234-101c66e9a124,jpg
outfits/male/outfit_002/3550491f-8736-47b1-9fa0-577f58f771a4.jpg,outfit_002,male,trousers,classic,darkslategray with black accents,all-seasons,wool blend,"These darkslategray wool blend trousers exude understated sophistication and elegance. Crafted from a luxurious blend of wool and a touch of synthetic fibers, they offer both comfort and durability while maintaining a refined appearance. The dark slate gray hue pairs effortlessly with various tones, making them versatile enough for everyday wear as well as formal occasions. Their classic fit ensures that these trousers complement any tailored shirt or blazer perfectly, creating a polished and professional look. The subtle black accents add depth and interest, adding character to your ensemble. Whether paired with a crisp button-down shirt for work or layered over a casual sweater on weekends, these trousers will enhance any outfit, elevating your style.",,bottom,3550491f-8736-47b1-9fa0-577f58f771a4,jpg
outfits/male/outfit_002/587680cc-5615-4d6b-b6ef-cdb7daef2075.jpg,outfit_002,male,jacket,classic,saddlebrown with red and white stripes,all-seasons,leather,"This elegant saddlebrown leather jacket features subtle yet striking red and white stripes running along its length, creating a sophisticated contrast that adds visual interest. The classic silhouette boasts a well-tailored fit, with medium width shoulders and slightly tapered sleeves that complement a variety of body types. Its smooth leather texture offers both durability and comfort, making it versatile enough for everyday wear as well as special occasions. Pair it with tailored trousers for a smart-casual look, or dress it down with jeans and a casual shirt for a more relaxed vibe. This jacket exudes understated sophistication and can easily transition from daytime errands to evening events.",,outerwear,587680cc-5615-4d6b-b6ef-cdb7daef2075,jpg
outfits/male/outfit_002/c51d2832-d055-4b8d-b226-a54bf6c543f7.jpg,outfit_002,male,sweater,casual,light gray with white accents,all-seasons,wool blend,"This light gray sweater features a subtle white accent in the form of buttons on the collar, adding a touch of elegance while maintaining a casual vibe. The cut is slightly oversized, offering comfort and versatility. Its soft wool blend material ensures warmth and durability throughout various seasons. It pairs well with chinos or jeans for a relaxed look during autumn or spring, or even under a lightweight jacket for winter. For summer, layering it over a T-shirt creates a cozy yet sophisticated ensemble.",,top,c51d2832-d055-4b8d-b226-a54bf6c543f7,jpg
outfits/male/outfit_003/a360d80f-ace8-40cd-9cae-5b59027cc359.jpg,outfit_003,male,jacket,sport,darkslategray with black accents,winter,synthetic insulation,"This darkslategray men's puffer jacket features a contemporary sport style with a bold and distinctive color palette. The main body is predominantly darkslategray, complemented by strategic black accents that add depth and sophistication. It boasts a fully functional hood for added warmth and protection from wind and rain. The jacket utilizes synthetic insulation for maximum comfort and breathability during cold weather conditions. Its streamlined design offers a modern silhouette, making it versatile enough for both casual weekend activities and more formal outdoor events. This piece pairs well with relaxed denims, chunky boots, and graphic tees for a chic yet practical look. Its cozy fit and lightweight construction ensure ease of movement while maintaining warmth.",,outerwear,a360d80f-ace8-40cd-9cae-5b59027cc359,jpg
outfits/male/outfit_003/a841d7e3-c41e-449a-9e6f-ad02ba739366.jpg,outfit_003,male,jeans,casual,black,all-seasons,denim,"These black skinny jeans are a perfect example of modern casual style. Crafted from high-quality denim, they feature a slim fit that hugs the legs closely while still offering comfort. The straight-leg design ensures a clean and classic look that pairs well with both formal and informal outfits. With their timeless black hue, these jeans can easily transition between seasons and occasions. Whether you're headed to work, running errands, or simply hanging out with friends, these jeans will add sophistication and versatility to your everyday wardrobe. They also boast a slightly distressed finish for added character and a vintage-inspired appeal. These jeans are versatile enough to be worn alone with a simple tee or layered under a sweater or blazer for a more sophisticated vibe.",,bottom,a841d7e3-c41e-449a-9e6f-ad02ba739366,jpg
